file,function,type,line,call,call_line
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeAdvertise,SUBROUTINE,107,fld_list_add,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeAdvertise,SUBROUTINE,107,fld_list_add,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeAdvertise,SUBROUTINE,107,fld_list_add,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeAdvertise,SUBROUTINE,107,fld_list_add,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeAdvertise,SUBROUTINE,107,fld_list_add,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeAdvertise,SUBROUTINE,107,fld_list_add,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeAdvertise,SUBROUTINE,107,fld_list_add,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeAdvertise,SUBROUTINE,107,shr_log_setLogUnit,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeRealize,SUBROUTINE,278,shr_log_getLogUnit,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeRealize,SUBROUTINE,278,shr_log_setLogUnit,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeRealize,SUBROUTINE,278,fld_list_realize,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeRealize,SUBROUTINE,278,fld_list_realize,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeRealize,SUBROUTINE,278,state_setexport,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,InitializeRealize,SUBROUTINE,278,shr_log_setLogUnit,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,ModelAdvance,SUBROUTINE,357,memcheck,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,ModelAdvance,SUBROUTINE,357,shr_log_getLogUnit,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,ModelAdvance,SUBROUTINE,357,shr_log_setLogUnit,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,ModelAdvance,SUBROUTINE,357,state_setexport,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,ModelAdvance,SUBROUTINE,357,state_diagnose,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,ModelAdvance,SUBROUTINE,357,log_clock_advance,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,ModelAdvance,SUBROUTINE,357,shr_log_setLogUnit,
./models/01_CTSM/cime/CIME/non_py/src/components/xcpl_comps_nuopc/xatm/src/atm_comp_nuopc.F90,state_setexport,SUBROUTINE,413,field_setexport,
