file,total_lines,include_lines,code_lines,comment_lines,preproc_lines,blank_lines_raw,inline_comment_count,comments_per_loc,function_count,avg_func_loc,module_count
./models/01_CTSM/components/cdeps/fox/cmake/flush_bare.f90,5,0,4,0,0,1,0,0.0,1,2.0,0
./models/01_CTSM/components/cdeps/fox/cmake/flush_nag.f90,6,0,5,0,0,1,0,0.0,1,2.0,0
./models/01_CTSM/components/cdeps/fox/cmake/flush_xlf.f90,5,0,4,0,0,1,0,0.0,1,2.0,0
./models/01_CTSM/components/cdeps/fox/cmake/output_eol.f90,52,0,33,12,0,8,12,0.3636,1,28.0,0
./models/01_CTSM/components/cdeps/fox/common/FoX_common.F90,55,0,38,3,5,9,3,0.0789,0,0.0,1
./models/01_CTSM/components/cdeps/fox/common/m_common_attrs.F90,1081,0,793,13,103,173,13,0.0164,53,12.26,1
./models/01_CTSM/components/cdeps/fox/common/m_common_buffer.F90,261,0,158,44,2,58,44,0.2785,8,15.38,1
./models/01_CTSM/components/cdeps/fox/common/m_common_charset.F90,447,0,307,69,2,70,69,0.2248,12,12.08,1
./models/01_CTSM/components/cdeps/fox/common/m_common_content_model.F90,490,0,382,40,2,68,40,0.1047,15,23.0,1
./models/01_CTSM/components/cdeps/fox/common/m_common_element.F90,1645,0,1436,49,2,160,49,0.0341,28,43.75,1
./models/01_CTSM/components/cdeps/fox/common/m_common_elstack.F90,236,0,171,8,2,55,8,0.0468,14,9.79,1
./models/01_CTSM/components/cdeps/fox/common/m_common_entities.F90,475,0,351,15,2,112,15,0.0427,24,12.12,1
./models/01_CTSM/components/cdeps/fox/common/m_common_entity_expand.F90,86,0,58,14,2,12,14,0.2414,1,46.0,1
./models/01_CTSM/components/cdeps/fox/common/m_common_error.F90,211,0,145,6,6,54,6,0.0414,11,8.55,1
./models/01_CTSM/components/cdeps/fox/common/m_common_io.F90,121,0,81,5,7,28,5,0.0617,4,15.5,1
./models/01_CTSM/components/cdeps/fox/common/m_common_namecheck.F90,501,0,387,33,2,80,33,0.0853,19,17.89,1
./models/01_CTSM/components/cdeps/fox/common/m_common_namespaces.F90,830,0,614,92,2,128,92,0.1498,22,24.68,1
./models/01_CTSM/components/cdeps/fox/common/m_common_notations.F90,120,0,89,4,2,25,4,0.0449,4,16.75,1
./models/01_CTSM/components/cdeps/fox/common/m_common_struct.F90,121,0,96,5,2,22,5,0.0521,6,9.17,1
./models/01_CTSM/components/cdeps/fox/common/test/test_fsys_array_str.f90,44,0,26,9,0,9,9,0.3462,1,21.0,0
./models/01_CTSM/components/cdeps/fox/common/test/test_input.f90,846,0,734,2,0,110,2,0.0027,22,26.14,0
./models/01_CTSM/components/cdeps/fox/common/test/test_xml_namecheck_1.f90,24,0,18,0,0,6,0,0.0,1,11.0,0
./models/01_CTSM/components/cdeps/fox/common/test/test_xml_namecheck_10.f90,42,0,36,0,0,6,0,0.0,1,29.0,0
./models/01_CTSM/components/cdeps/fox/common/test/test_xml_namecheck_2.f90,24,0,18,0,0,6,0,0.0,1,11.0,0
./models/01_CTSM/components/cdeps/fox/common/test/test_xml_namecheck_4.f90,15,0,12,0,0,3,0,0.0,1,6.0,0
./models/01_CTSM/components/cdeps/fox/common/test/test_xml_namecheck_5.f90,28,0,22,0,0,6,0,0.0,1,15.0,0
./models/01_CTSM/components/cdeps/fox/common/test/test_xml_namecheck_6.f90,15,0,11,0,0,4,0,0.0,1,4.0,0
./models/01_CTSM/components/cdeps/fox/common/test/test_xml_namecheck_7.f90,16,0,12,0,0,4,0,0.0,1,5.0,0
./models/01_CTSM/components/cdeps/fox/common/test/test_xml_namecheck_8.f90,62,0,56,0,0,6,0,0.0,1,49.0,0
./models/01_CTSM/components/cdeps/fox/common/test/test_xml_namecheck_9.f90,40,0,34,0,0,6,0,0.0,1,27.0,0
./models/01_CTSM/components/cdeps/fox/dom/FoX_dom.f90,261,0,186,38,0,37,38,0.2043,0,0.0,1
./models/01_CTSM/components/cdeps/fox/dom/m_dom_dom.F90,12324,0,9835,432,69,2060,432,0.0439,204,44.62,1
