file,function,type,line,do_loops,is_recursive,cyclomatic_complexity,loc,volume,difficulty,effort,time,bugs
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_sys_mod.F90,shr_sys_irtc,FUNCTION,188,0,False,4,17,461.5081945371193,14.4,6645.718001334519,369.20655562969546,0.15383606484570644
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_sys_mod.F90,shr_sys_ioUnit,FUNCTION,294,1,False,4,18,343.01880011637485,10.0,3430.1880011637486,190.5660000646527,0.11433960003879162
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_sys_mod.F90,shr_sys_getenv,SUBROUTINE,105,0,False,3,18,461.63547152504697,9.777777777777779,4513.7690549115705,250.76494749508726,0.15387849050834898
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_sys_mod.F90,shr_sys_sleep,SUBROUTINE,222,0,False,3,17,361.89475010096186,8.846153846153847,3201.376635508509,177.8542575282505,0.12063158336698729
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_sys_mod.F90,shr_sys_abort,SUBROUTINE,144,0,False,2,15,300.0,8.217391304347826,2465.217391304348,136.95652173913044,0.1
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_sys_mod.F90,shr_sys_system,SUBROUTINE,28,0,False,1,14,265.9278250418271,5.657894736842105,1504.5916416840216,83.5884245380012,0.08864260834727569
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_sys_mod.F90,shr_sys_chdir,SUBROUTINE,70,0,False,1,12,253.82374477961895,4.8809523809523805,1238.9016114243304,68.82786730135169,0.08460791492653964
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_sys_mod.F90,shr_sys_flush,SUBROUTINE,259,0,False,1,7,85.95159310338741,3.75,322.31847413770276,17.90658189653904,0.02865053103446247
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_stop,SUBROUTINE,165,0,False,4,21,627.6685402395731,16.640625,10444.796802424145,580.2664890235636,0.20922284674652436
./models/01_CTSM/cime/tools/mapping/gen_mapping_files/runoff_to_ocn/src/shr_timer_mod.F90,shr_timer_get,SUBROUTINE,101,1,False,3,16,325.0,8.217391304347826,2670.6521739130435,148.3695652173913,0.10833333333333334
